food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Bacon rashers, middle, raw",241,20.0,7.30,0.0,0.0,0.0,0.0,15.2,2.63
"Bacon rashers, streaky, fried in corn oil",335,26.6,9.10,0.0,0.0,0.0,0.0,23.8,4.20
"Bacon rashers, streaky, grilled",337,26.9,9.80,0.0,0.0,0.0,0.0,23.8,4.20
"Bacon rashers, streaky, raw",276,23.6,8.20,0.0,0.0,0.0,0.0,15.8,3.15
"Bacon, fat only, average, cooked",692,72.8,28.50,0.0,0.0,0.0,0.0,9.3,1.85
"Bacon, fat only, average, raw",747,80.9,31.50,0.0,0.0,0.0,0.0,4.8,1.05
"Bagels, plain",274,1.8,0.36,52.9,4.7,46.6,3.0,10.0,1.00
"Baked beans, canned in barbecue sauce",87,0.4,0.09,13.0,4.7,8.4,4.9,5.3,0.65
"Baked beans, canned in tomato sauce",90,0.5,0.09,13.9,4.6,9.3,4.9,5.1,0.65
"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",84,0.5,0.09,12.5,3.2,9.3,4.9,5.1,0.48
"Baked beans, canned in tomato sauce, with pork sausages",112,4.5,1.40,10.2,3.9,6.4,3.3,6.0,0.65
"Baking fat and margarine (75-90% fat), hard block",688,76.4,26.41,0.0,0.0,0.0,0.0,0.0,1.50
Baking powder,160,0.0,0.00,34.4,0.0,34.4,0.0,5.7,29.50
"Banana bread, homemade",337,12.4,3.27,50.9,35.0,15.8,1.4,4.7,0.43
"Banana split, homemade",193,11.8,6.91,18.9,18.1,0.8,0.6,2.4,0.10
"Bananas, flesh only",90,0.1,0.04,20.0,18.0,2.0,1.4,1.1,0.00
"Bananas, raw, flesh only, weighed with skin",56,0.0,0.03,12.6,11.3,1.3,0.9,0.7,0.00
"Bannocks, made with beremeal, homemade",264,1.7,0.23,51.9,3.1,48.8,1.0,9.9,0.28
"Bannocks, made with wheat flour, homemade",294,1.3,0.46,59.7,2.4,57.4,3.1,9.2,0.38
Barbecue sauce,144,0.1,0.00,34.1,28.5,5.6,1.2,1.0,1.58
"Barbecue sauce, homemade",284,21.0,12.45,20.3,20.2,0.1,1.7,2.7,0.98
"Barcelona nuts, Kernel only",661,64.0,4.59,4.9,3.2,1.6,7.0,12.9,0.01
"Barcelona nuts, kernel only, weighed with shells",410,39.7,2.85,3.0,2.0,1.0,4.3,8.0,0.01
"Barley water, diluted",18,0.0,0.00,4.5,4.1,0.4,0.0,0.1,0.01
"Barley water, undiluted",91,0.0,0.00,22.5,20.5,2.0,0.0,0.3,0.04
"Barley, pearl, boiled",130,0.6,0.09,25.5,0.4,25.1,5.4,2.9,0.00
"Barley, pearl, raw",318,1.7,0.24,60.6,1.0,59.6,13.1,8.4,0.01
"Basil, dried, ground",209,4.0,0.20,10.1,1.7,8.4,37.7,14.4,0.09
"Basil, fresh",27,0.8,0.04,1.1,0.3,0.8,1.6,3.1,0.02
"Bass, sea, flesh only, baked",154,6.8,1.47,0.0,0.0,0.0,0.0,23.2,0.20
"Bass, sea, flesh only, baked, weighed with bones and skin",137,6.1,1.31,0.0,0.0,0.0,0.0,20.6,0.18
"Bass, sea, flesh only, raw",168,9.8,2.16,0.0,0.0,0.0,0.0,20.0,0.18
"Bass, sea, flesh only, raw, weighed with bones and skin",146,8.4,1.86,0.0,0.0,0.0,0.0,17.5,0.16
"Bay leaf, dried",353,8.4,2.30,48.6,48.6,0.0,26.3,7.6,0.06
"Bean loaf, mixed beans, homemade",153,7.2,0.59,13.0,3.4,9.5,4.3,6.9,0.01
"Beanburger, aduki, fried in rapeseed oil, homemade",194,7.3,N,21.7,2.2,19.5,4.4,8.2,0.52
"Beanburger, butter bean, fried in rapeseed oil, homemade",199,10.6,0.85,18.0,2.9,14.7,4.0,5.8,0.18
"Beanburger, red kidney bean, fried in rapeseed oil",210,10.7,0.85,19.6,2.5,16.1,4.8,6.3,0.18
"Beanburger, soya, fried in rapeseed oil",202,10.7,1.18,13.5,3.7,9.0,4.6,10.6,0.50
"Beans, aduki, whole, dried, boiled in unsalted water",140,0.2,0.12,19.3,0.4,18.9,11.8,9.3,0.01
"Beans, aduki, whole, dried, raw",286,0.5,0.19,41.6,1.0,40.6,17.8,19.9,0.01
"Beans, balor, ends trimmed, raw",31,0.1,0.00,2.9,2.4,0.5,3.5,2.8,0.00
"Beans, blackeye, whole, dried, boiled in unsalted water",127,0.7,0.20,18.1,1.0,16.4,6.5,8.8,0.01
"Beans, blackeye, whole, dried, raw",313,1.6,0.50,46.0,2.8,43.2,10.6,23.5,0.04
"Beans, broad, dried, raw",301,2.1,0.30,27.9,5.7,22.2,32.9,26.1,0.03
"Beans, broad, whole, boiled in unsalted water",108,1.0,0.13,11.2,1.0,10.2,9.0,9.0,0.01
"Beans, broad, whole, raw",70,1.0,0.10,6.2,1.3,4.9,6.7,5.8,0.00
"Beans, butter, canned, re-heated, drained",89,0.5,0.10,11.0,1.0,9.9,8.6,5.9,0.00
"Beans, butter, dried, boiled in unsalted water",126,1.1,0.18,15.3,1.3,14.0,11.2,8.1,0.00
"Beans, butter, dried, raw",318,1.7,0.40,45.4,3.4,42.0,22.1,19.1,0.10
"Beans, cannellini, canned, re-heated, drained",116,1.6,0.27,14.5,0.7,13.8,6.8,7.6,0.02
"Beans, chick peas, canned, re-heated, drained",142,3.0,0.29,16.7,0.7,16.0,7.1,8.4,0.00
"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",126,2.0,0.20,15.4,1.0,14.5,7.6,7.7,0.01
"Beans, chick peas, Kabuli, split, dried, raw",343,5.4,0.50,42.3,2.5,39.8,17.4,22.7,0.10
"Beans, chick peas, Kabuli, whole, dried, boiled in unsalted water",149,3.0,0.29,16.7,0.7,16.0,10.6,8.4,0.00
"Beans, chick peas, Kabuli, whole, dried, raw",345,5.4,0.50,42.3,2.5,39.8,20.9,21.4,0.10
"Beans, cluster, raw",38,0.1,0.00,3.0,2.9,0.1,7.3,2.6,0.00
"Beans, edamame, frozen, boiled in unsalted water",158,7.6,0.85,6.0,2.5,3.5,5.9,13.3,0.01
"Beans, green, boiled in unsalted water",35,0.3,0.06,3.8,3.0,0.8,4.1,2.1,0.00
"Beans, green, raw",32,0.4,0.08,3.1,2.2,0.9,3.4,2.1,0.00
"Beans, haricot, canned, re-heated, drained",108,1.0,0.20,14.2,0.6,13.6,6.8,7.1,0.02
