food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Lamb, lean only, raw, average",153,8.0,3.46,0.0,0.0,0.0,0.0,20.2,0.18
"Lamb, lean only, raw, average, extra trimmed",148,7.5,3.24,0.0,0.0,0.0,0.0,20.1,0.18
"Lamb, leg chops, grilled, lean and fat",221,12.0,5.00,0.0,0.0,0.0,0.0,28.3,0.18
"Lamb, leg chops, grilled, lean and fat, weighed with bone",186,10.1,4.20,0.0,0.0,0.0,0.0,23.8,0.15
"Lamb, leg joint, roasted, lean",210,9.6,3.40,0.0,0.0,0.0,0.0,30.8,0.21
"Lamb, leg joint, roasted, lean and fat",236,13.0,4.70,0.0,0.0,0.0,0.0,29.7,0.21
"Lamb, leg steaks, grilled, lean",198,9.0,3.60,0.0,0.0,0.0,0.0,29.2,0.18
"Lamb, leg steaks, grilled, lean and fat",231,13.2,5.50,0.0,0.0,0.0,0.0,28.0,0.18
"Lamb, leg, half fillet, braised, lean",204,10.5,4.60,0.0,0.0,0.0,0.0,27.3,0.15
"Lamb, leg, half fillet, braised, lean and fat",256,17.1,7.70,0.0,0.0,0.0,0.0,25.6,0.16
"Lamb, leg, half knuckle, pot-roasted, lean",201,9.3,3.90,0.0,0.0,0.0,0.0,29.4,0.15
"Lamb, leg, half knuckle, pot-roasted, lean and fat",236,13.8,6.00,0.0,0.0,0.0,0.0,28.1,0.15
"Lamb, leg, half knuckle, pot-roasted, lean and fat, weighed with bone",173,10.1,4.40,0.0,0.0,0.0,0.0,20.6,0.11
"Lamb, leg, whole, roasted well done, lean",208,9.2,3.70,0.0,0.0,0.0,0.0,31.3,0.16
"Lamb, leg, whole, roasted well done, lean and fat",242,13.6,5.70,0.0,0.0,0.0,0.0,29.8,0.16
"Lamb, leg, whole, roasted, lean and fat",240,14.2,5.93,0.0,0.0,0.0,0.0,28.1,0.16
"Lamb, leg, whole, roasted, lean only",203,9.4,3.80,0.0,0.0,0.0,0.0,29.7,0.16
"Lamb, loin chops, grilled, lean",213,10.7,4.90,0.0,0.0,0.0,0.0,29.2,0.20
"Lamb, loin chops, grilled, lean and fat",305,22.1,10.50,0.0,0.0,0.0,0.0,26.5,0.20
"Lamb, loin chops, grilled, lean and fat, weighed with bone",247,17.9,8.50,0.0,0.0,0.0,0.0,21.5,0.17
"Lamb, loin chops, grilled, lean, weighed with fat and bone",130,6.5,3.00,0.0,0.0,0.0,0.0,17.8,0.12
"Lamb, loin chops, microwaved, lean",242,12.5,5.70,0.0,0.0,0.0,0.0,32.4,0.19
"Lamb, loin chops, microwaved, lean and fat",352,26.9,12.80,0.0,0.0,0.0,0.0,27.4,0.19
"Lamb, loin chops, microwaved, lean and fat, weighed with bone",289,22.1,10.50,0.0,0.0,0.0,0.0,22.5,0.15
"Lamb, loin chops, microwaved, lean, weighed with fat and bone",141,7.3,3.30,0.0,0.0,0.0,0.0,18.8,0.11
"Lamb, loin chops, raw, lean and fat",277,23.0,10.80,0.0,0.0,0.0,0.0,17.6,0.16
"Lamb, loin chops, raw, lean and fat, weighed with bone",216,17.9,8.40,0.0,0.0,0.0,0.0,13.7,0.12
"Lamb, loin chops, roasted, lean",257,13.3,6.10,0.0,0.0,0.0,0.0,34.4,0.23
"Lamb, loin chops, roasted, lean and fat",359,26.9,12.80,0.0,0.0,0.0,0.0,29.1,0.21
"Lamb, loin chops, roasted, lean and fat, weighed with bone",289,20.7,11.30,0.0,0.0,0.0,0.0,25.6,0.19
"Lamb, loin chops, roasted, lean, weighed with fat and bone",144,7.4,3.40,0.0,0.0,0.0,0.0,19.3,0.13
"Lamb, loin joint, raw, lean and fat",307,26.6,12.60,0.0,0.0,0.0,0.0,16.9,0.15
"Lamb, loin joint, raw, lean and fat, weighed with bone",237,20.5,9.70,0.0,0.0,0.0,0.0,13.0,0.12
"Lamb, loin joint, roasted, lean",209,10.7,4.90,0.0,0.0,0.0,0.0,28.2,0.19
"Lamb, loin joint, roasted, lean and fat",303,22.4,10.60,0.0,0.0,0.0,0.0,25.3,0.19
"Lamb, loin joint, roasted, lean and fat, weighed with bone",224,16.6,7.80,0.0,0.0,0.0,0.0,18.7,0.19
"Lamb, mince, raw",196,13.3,6.20,0.0,0.0,0.0,0.0,19.1,0.17
"Lamb, mince, stewed",208,12.3,5.94,0.0,0.0,0.0,0.0,24.4,0.15
"Lamb, mince, stewed with onions",128,8.5,3.34,2.2,0.6,1.6,0.4,10.6,0.79
"Lamb, neck fillet, raw, lean",203,13.9,6.40,0.0,0.0,0.0,0.0,19.4,0.15
"Lamb, neck fillet, raw, lean and fat",232,17.6,8.30,0.0,0.0,0.0,0.0,18.4,0.15
"Lamb, neck fillet, slices, grilled, lean",283,19.1,8.70,0.0,0.0,0.0,0.0,27.9,0.20
"Lamb, neck fillet, slices, grilled, lean and fat",302,21.9,10.30,0.0,0.0,0.0,0.0,26.3,0.19
"Lamb, neck fillet, strips, stir-fried  in corn oil, lean",278,20.0,8.17,0.0,0.0,0.0,0.0,24.4,0.17
"Lamb, neck fillet, strips, stir-fried in corn oil, lean and fat",301,23.1,9.90,0.0,0.0,0.0,0.0,23.3,0.18
"Lamb, New Zealand, leg, whole, chilled, roasted, lean",207,10.2,4.40,0.0,0.0,0.0,0.0,28.8,0.21
"Lamb, New Zealand, leg, whole, chilled, roasted, lean and fat",230,13.1,5.80,0.0,0.0,0.0,0.0,28.0,0.21
"Lamb, New Zealand, leg, whole, frozen, raw, lean and fat, weighed with bone",160,11.1,3.70,0.0,0.0,0.0,0.0,15.0,0.11
"Lamb, New Zealand, leg, whole, frozen, roasted, lean",206,9.3,4.00,0.0,0.0,0.0,0.0,30.6,0.16
"Lamb, New Zealand, leg, whole, frozen, roasted, lean and fat",243,14.1,6.50,0.0,0.0,0.0,0.0,29.0,0.16
"Lamb, New Zealand, leg, whole, frozen, roasted, lean and fat, weighed with bone",177,10.3,4.90,0.0,0.0,0.0,0.0,21.1,0.12
"Lamb, New Zealand, loin chops, frozen, grilled, lean",249,13.7,6.20,0.0,0.0,0.0,0.0,31.4,0.20
"Lamb, New Zealand, loin chops, frozen, grilled, lean and fat",364,28.5,13.50,0.0,0.0,0.0,0.0,26.9,0.19
"Lamb, New Zealand, loin chops, frozen, grilled, lean and fat, weighed with bone",288,22.5,10.70,0.0,0.0,0.0,0.0,21.3,0.15
"Lamb, New Zealand, loin chops, frozen, grilled, lean, weighed with fat and bone",147,8.1,3.70,0.0,0.0,0.0,0.0,18.5,0.15
"Lamb, New Zealand, mince, frozen, stewed",243,17.7,8.80,0.0,0.0,0.0,0.0,20.9,0.19
"Lamb, New Zealand, shoulder, whole, frozen, roasted, lean",251,15.6,7.10,0.0,0.0,0.0,0.0,27.6,0.20
"Lamb, New Zealand, shoulder, whole, frozen, roasted, lean and fat",349,27.9,13.30,0.0,0.0,0.0,0.0,24.6,0.20
"Lamb, rack of, lean, roasted",226,13.0,6.20,0.0,0.0,0.0,0.0,27.1,0.19
"Lamb, rack of, raw, lean and fat",283,23.8,11.50,0.0,0.0,0.0,0.0,17.3,0.15
"Lamb, rack of, raw, lean and fat, weighed with bone",204,17.1,8.30,0.0,0.0,0.0,0.0,12.5,0.11
"Lamb, rack of, roasted, lean and fat",363,30.1,14.80,0.0,0.0,0.0,0.0,22.9,0.19
"Lamb, shoulder joint, roasted, lean",235,13.5,6.20,0.0,0.0,0.0,0.0,28.4,0.19
"Lamb, shoulder joint, roasted, lean and fat",282,19.8,9.30,0.0,0.0,0.0,0.0,25.9,0.19
"Lamb, shoulder, diced, kebabs, grilled, lean and fat",288,19.3,9.00,0.0,0.0,0.0,0.0,28.5,0.22
"Lamb, shoulder, half bladeside, pot-roasted, lean",233,14.3,6.40,0.0,0.0,0.0,0.0,26.2,0.17
"Lamb, shoulder, half bladeside, pot-roasted, lean and fat",324,25.6,12.00,0.0,0.0,0.0,0.0,23.5,0.18
"Lamb, shoulder, half knuckle, braised, lean",212,12.4,5.40,0.0,0.0,0.0,0.0,25.1,0.19
"Lamb, shoulder, half knuckle, braised, lean and fat",302,23.4,10.80,0.0,0.0,0.0,0.0,22.9,0.19
"Lamb, shoulder, raw, lean and fat",235,18.3,8.50,0.0,0.0,0.0,0.0,17.6,0.16
"Lamb, shoulder, raw, lean and fat, weighed with bone",188,14.6,6.80,0.0,0.0,0.0,0.0,14.1,0.13
"Lamb, shoulder, whole, roasted, lean",218,12.1,5.50,0.0,0.0,0.0,0.0,27.2,0.20
"Lamb, shoulder, whole, roasted, lean and fat",298,22.1,10.40,0.0,0.0,0.0,0.0,24.8,0.20
"Lamb, shoulder, whole, roasted, lean and fat, weighed with bone",234,17.5,8.20,0.0,0.0,0.0,0.0,19.1,0.16
"Lamb, stewing, pressure cooked, lean",248,14.8,6.50,0.0,0.0,0.0,0.0,28.7,0.16
"Lamb, stewing, pressure cooked, lean and fat",291,20.9,9.60,0.0,0.0,0.0,0.0,25.7,0.16
"Lamb, stewing, raw, lean and fat",203,12.6,5.90,0.0,0.0,0.0,0.0,22.5,0.17
"Lamb, stewing, raw, lean and fat, weighed with bone",136,8.4,3.90,0.0,0.0,0.0,0.0,15.1,0.11
"Lamb, stewing, stewed, lean",240,14.8,6.50,0.0,0.0,0.0,0.0,26.6,0.12
"Lamb, stewing, stewed, lean and fat",279,20.1,9.20,0.0,0.0,0.0,0.0,24.4,0.13
"Lamb's heart casserole, homemade",161,8.1,2.91,8.9,0.6,8.3,0.4,11.9,1.03
"Lancashire hotpot, homemade",120,6.9,2.96,6.6,1.4,5.3,1.1,7.3,0.29
"Langoustine, boiled",86,0.8,0.15,0.0,0.0,0.0,0.0,19.7,0.54
Lard,891,99.0,40.30,0.0,0.0,0.0,0.0,0.0,0.01
"Lasagne, homemade",183,9.6,4.18,13.9,2.7,11.2,1.0,9.8,0.59
"Lasagne, homemade, with extra lean minced beef",162,7.0,3.13,14.0,2.7,11.2,1.0,10.3,0.59
"Lasagne, retail, reheated",146,6.1,2.80,14.5,2.9,11.5,1.7,7.4,0.53
"Lasagne, spinach, wholemeal, homemade",98,3.1,1.30,12.0,2.0,9.9,2.3,4.4,0.33
"Lasagne, vegetable, retail",N,5.3,N,12.4,4.3,8.2,N,4.8,0.53
"Lasagne, vegetable, wholemeal, homemade",111,4.6,2.20,11.4,2.8,8.5,2.1,5.0,0.28
"Lassi, sweetened",65,0.9,0.59,11.7,11.4,0.2,0.0,2.6,0.11
Laverbread,60,3.7,0.24,1.5,0.0,1.5,3.9,3.2,1.40
"Leeks in cheese sauce, made with semi-skimmed milk, homemade",85,5.5,3.22,4.2,2.5,1.6,1.4,4.0,0.23
"Leeks in cheese sauce, made with skimmed milk, homemade",80,5.0,2.94,4.2,2.5,1.6,1.4,4.0,0.23
"Leeks in cheese sauce, made with whole milk, homemade",89,6.0,3.59,4.2,2.5,1.6,1.2,3.9,0.23
"Leeks, boiled in unsalted water",20,0.2,0.03,2.5,2.3,0.2,1.9,1.2,0.00
"Leeks, raw",30,0.2,0.04,4.1,3.8,0.3,2.8,1.5,0.00
"Leeks, roasted in rapeseed oil",48,1.9,0.15,4.5,4.2,0.3,3.1,1.7,0.00
"Lemon chicken, homemade",150,6.2,0.57,6.6,3.1,3.5,0.0,16.9,0.13
Lemon curd,274,4.9,1.52,56.9,51.5,5.4,0.2,0.6,0.16
"Lemon curd, homemade",357,16.0,9.10,48.3,48.3,0.0,0.1,4.2,0.42
"Lemon juice, fresh",21,0.0,0.00,1.6,1.6,0.0,0.3,0.3,0.00
"Lemon juice, fresh, weighed as whole fruit",8,0.0,0.00,0.6,0.6,0.0,0.1,0.1,0.00
Lemon peel,47,0.3,0.10,4.2,4.2,0.0,10.6,1.5,0.02
"Lemon sole, flesh only, grilled",91,0.6,0.16,0.0,0.0,0.0,0.0,21.5,0.38
"Lemon sole, flesh only, raw",73,0.7,0.16,0.0,0.0,0.0,0.0,16.7,0.29
"Lemon sole, flesh only, steamed",95,0.9,0.21,0.0,0.0,0.0,0.0,21.8,0.38
"Lemon sole, flesh only, steamed, weighed with bones and skin",73,0.7,0.16,0.0,0.0,0.0,0.0,16.8,0.29
"Lemon sole, goujons, baked",N,14.6,0.00,13.0,0.4,12.6,N,16.1,0.50
Lemonade,23,0.0,0.00,5.7,5.7,0.0,0.0,0.0,0.02
"Lemonade, homemade",64,0.0,0.00,16.0,16.0,0.0,0.1,0.1,0.00
"Lemons, flesh only, raw, weighed with peel and pips",20,0.2,0.10,1.3,1.3,0.0,0.9,0.5,0.01
"Lemons, peeled, flesh only",33,0.3,0.10,2.1,2.1,0.0,2.5,0.8,0.01
"Lemons, whole, without pips",43,0.3,0.10,3.2,3.2,0.0,4.7,1.0,0.01
"Lentil and nut roast, homemade",231,12.1,1.80,17.2,2.6,14.0,3.8,11.4,0.65
"Lentil and nut roast, with egg, homemade",227,12.1,1.90,16.2,2.5,13.2,3.6,11.6,0.63
"Lentil and potato pie, homemade",111,2.2,0.40,16.5,1.4,15.1,2.3,5.3,0.78
"Lentil and rice roast, homemade",131,1.8,0.19,22.5,1.1,21.5,1.7,5.3,0.32
"Lentil and rice roast, with egg, homemade",131,2.1,0.29,21.7,1.1,20.6,1.6,5.6,0.32
"Lentil cutlets, fried in vegetable oil, homemade",192,8.3,0.57,20.1,1.2,18.9,1.7,8.5,0.06
"Lentil pie, homemade",N,4.3,0.28,26.0,4.1,21.9,N,7.1,0.21
"Lentil roast, homemade",145,3.0,0.40,20.0,2.4,16.9,3.4,7.8,0.70
"Lentil roast, with egg, homemade",146,3.6,0.60,18.5,2.2,15.6,3.1,8.3,0.68
"Lentils, green and brown, whole, dried, boiled in unsalted water",105,0.7,0.10,13.2,0.2,13.0,7.4,7.8,0.00
"Lentils, green and brown, whole, dried, raw",299,1.9,0.20,41.6,1.1,40.5,17.3,24.4,0.03
"Lentils, red, split, dried, boiled in unsalted water",113,0.7,0.00,15.4,0.4,15.0,6.3,8.1,0.00
"Lentils, red, split, dried, raw",340,1.8,0.28,46.6,1.2,45.4,17.4,25.6,0.00
"Lettuce, average, raw",14,0.1,0.03,1.4,1.4,0.0,1.5,1.2,0.02
"Lime juice cordial, diluted",24,0.0,0.00,5.9,5.9,0.0,0.0,0.0,0.01
"Lime juice cordial, undiluted",118,0.0,0.00,29.5,29.5,0.0,0.0,0.1,0.02
"Lime juice, fresh",22,0.1,0.00,1.6,1.6,0.0,0.4,0.4,0.00
"Limes, flesh only",29,0.3,0.10,0.7,0.7,0.0,2.8,0.7,0.01
"Limes, flesh only, weighed with peel and pips",21,0.2,0.00,0.5,0.5,0.0,2.1,0.5,0.00
"Ling, raw",82,0.7,0.10,0.0,0.0,0.0,0.0,18.8,0.30
"Liqueurs, cream",306,13.0,8.20,20.8,20.8,0.0,0.0,2.9,0.22
"Liqueurs, high strength",316,0.0,0.00,23.5,23.5,0.0,0.0,0.0,0.02
"Liqueurs, low-medium strength",266,0.0,0.00,31.8,31.8,0.0,0.0,0.0,0.03
Liquorice allsorts,339,5.2,3.60,68.4,59.8,8.5,2.0,3.7,0.14
Liquorice powder,N,1.7,N,N,N,N,N,6.3,N
"Liver and bacon, fried, homemade",248,14.7,N,0.0,0.0,0.0,0.0,28.9,0.87
"Liver and onions, stewed, homemade",141,6.9,1.34,4.2,4.2,0.0,1.5,14.8,0.13
Liver sausage,231,16.7,5.30,5.5,1.0,4.5,2.7,13.4,2.03
"Liver, calf, fried in corn oil",176,9.6,1.80,0.0,0.0,0.0,0.0,22.3,0.18
"Liver, calf, raw",104,3.4,1.00,0.0,0.0,0.0,0.0,18.3,0.18
"Liver, chicken, fried in corn oil",169,8.9,1.50,0.0,0.0,0.0,0.0,22.1,0.20
"Liver, chicken, raw",91,2.3,0.70,0.0,0.0,0.0,0.0,17.7,0.19
"Liver, lamb, fried in corn oil",237,12.9,2.20,0.0,0.0,0.0,0.0,30.1,0.21
"Liver, lamb, raw",137,6.2,1.70,0.0,0.0,0.0,0.0,20.3,0.18
"Liver, ox, raw",154,7.8,2.90,0.0,0.0,0.0,0.0,21.1,0.20
"Liver, ox, stewed",198,9.5,3.50,3.3,0.0,3.3,0.0,24.8,0.28
"Liver, pig, raw",113,3.1,1.00,0.0,0.0,0.0,0.0,21.3,0.21
"Liver, pig, stewed",188,8.1,2.50,3.3,0.0,3.3,0.0,25.6,0.33
"Lobster, boiled",103,1.6,0.20,0.0,0.0,0.0,0.0,22.1,0.83
"Lobster, boiled, weighed with shell",37,0.6,0.10,0.0,0.0,0.0,0.0,7.9,0.30
"Loganberries, raw",36,0.0,0.00,3.4,3.4,0.0,5.6,1.1,0.01
"Loganberries, stewed with sugar",66,0.0,0.00,12.1,12.1,0.0,4.5,0.8,0.01
"Loganberries, stewed without sugar",31,0.0,0.00,2.9,2.9,0.0,4.8,0.9,0.01
"Lollies, containing ice-cream",119,3.8,2.07,20.1,20.1,0.0,0.0,1.2,0.08
"Lollies, with real fruit juice",74,0.3,N,17.8,17.0,0.0,0.0,0.1,0.03
"Longans, canned in syrup, drained",75,0.3,0.10,17.1,17.0,0.1,1.0,0.4,0.13
"Longans, canned in syrup, whole contents",71,0.2,0.00,16.5,16.4,0.1,0.5,0.3,0.10
"Longans, flesh only, dried",320,0.4,0.10,72.0,71.5,0.5,2.8,4.9,0.12
"Loquats, flesh only, raw",35,0.2,0.00,6.3,6.3,0.0,1.7,0.7,0.00
"Lotus tubers, raw",61,0.1,0.00,10.5,5.5,5.0,4.9,2.1,0.07
Lucozade,63,0.0,0.00,15.6,11.1,0.0,0.0,0.0,0.07
"Luncheon meat, Chinese, steamed",265,22.3,8.70,4.1,0.0,4.1,0.0,11.9,1.70
"Lychees, flesh only, raw, weighed with skin and stone",41,0.1,0.00,8.8,8.8,0.0,0.8,0.6,0.00
"Lychees, raw, flesh only",66,0.1,0.00,14.3,14.3,0.0,1.3,0.9,0.00
"Macadamia nuts, salted",767,77.6,11.20,4.5,3.8,0.7,6.4,9.3,1.00
"Macaroni cheese, homemade",183,8.6,4.47,18.0,2.7,15.4,1.1,7.9,0.37
"Macaroon, homemade",461,17.8,1.41,62.8,59.0,3.7,2.4,11.3,0.15
"Mace, ground",478,32.4,9.50,37.6,8.7,28.9,4.8,6.7,0.20
"Mackerel, flesh only, grilled",283,22.4,5.10,0.0,0.0,0.0,0.0,20.3,0.41
"Mackerel, flesh only, grilled, fillets weighed with bones and skin",278,22.0,5.00,0.0,0.0,0.0,0.0,19.9,0.40
"Mackerel, flesh only, raw",233,17.9,3.85,0.0,0.0,0.0,0.0,18.0,0.38
"Mackerel, flesh only, smoked",301,24.1,5.04,0.0,0.0,0.0,0.0,21.1,1.87
Maltesers and similar products,482,23.3,14.16,59.8,53.0,6.8,1.7,7.4,0.39
"Mammie apple, flesh only",74,0.4,0.14,14.4,14.4,0.0,3.0,0.5,0.04
"Mandarin oranges, canned in juice, whole contents",37,0.0,0.00,7.6,7.6,0.0,0.3,0.7,0.02
"Mango, unripe, green flesh, raw",55,0.2,0.10,10.7,5.6,5.1,3.0,0.6,0.06
"Mangoes, ripe, flesh only, raw",54,0.6,0.15,10.4,10.1,0.3,1.1,0.7,0.01
"Mangoes, ripe, flesh only, raw, weighed with skin and stone",34,0.4,0.09,6.5,6.3,0.2,0.7,0.4,0.01
"Mangosteen, flesh only",74,0.5,0.37,15.6,15.3,0.3,1.9,0.6,0.00
"Marjoram, dried",324,7.0,0.53,32.4,4.1,28.3,40.3,12.7,0.19
Marmalade,274,0.0,0.00,68.1,68.1,0.0,0.5,0.1,0.16
"Marrow, boiled in unsalted water",11,0.2,0.00,1.5,1.3,0.2,0.6,0.4,0.00
"Marrow, parwal, raw",18,0.0,0.00,1.6,0.4,1.2,2.6,1.6,0.01
"Marrow, raw",14,0.2,0.00,2.2,2.1,0.1,0.6,0.5,0.00
Mars bar and own brand equivalents,412,15.3,7.31,63.7,60.7,3.0,1.5,4.1,0.44
Marshmallows,332,0.0,0.00,79.2,62.0,4.1,0.0,3.9,0.07
"Marzipan, homemade",478,25.7,2.17,47.6,46.3,1.4,3.3,12.3,0.06
"Marzipan, white and yellow, retail",403,12.7,1.03,64.6,64.6,0.0,2.4,6.4,0.05
"Matoki, boiled in unsalted water",93,0.2,0.10,20.3,0.6,19.7,2.3,1.3,0.01
"Matoki, raw",93,0.2,0.10,20.4,0.9,19.5,2.3,1.3,0.01
"Mayonnaise, homemade",765,84.2,12.20,0.0,0.0,0.0,0.0,1.7,0.05
"Mayonnaise, reduced fat",288,28.1,2.12,7.8,4.5,3.3,0.0,1.0,1.70
"Mayonnaise, standard, retail",687,74.8,5.65,2.3,2.3,0.0,0.0,1.1,0.33
"Mchicha, homemade",76,4.7,0.35,3.0,3.0,0.1,3.3,3.7,0.43
"Meat loaf, homemade",210,10.9,4.01,11.1,1.4,9.7,0.4,16.7,0.39
"Meat samosas, takeaway",275,17.3,4.45,17.3,1.8,15.3,2.4,11.4,1.02
Meat spread,196,13.4,5.50,2.1,0.2,1.9,2.2,15.7,1.45
"Meatballs, pork and beef, in tomato sauce, homemade",123,7.2,2.69,4.1,2.7,1.5,0.9,10.0,0.15
"Medlars, flesh only",44,0.0,0.00,10.6,10.6,0.0,N,0.5,0.02
Melon seeds,590,47.7,12.00,9.0,0.7,8.3,5.3,28.5,0.25
"Melon, Canteloupe-type, flesh only",24,0.1,0.00,4.1,4.1,0.0,1.8,0.6,0.02
"Melon, Canteloupe-type, flesh only, weighed whole",15,0.1,0.00,2.5,2.5,0.0,1.1,0.4,0.01
"Melon, Canteloupe-type, flesh only, weighed with skin",17,0.1,0.00,2.8,2.8,0.0,1.2,0.4,0.01
"Melon, flesh only, average",28,0.1,0.00,5.4,5.4,0.0,1.3,0.6,0.04
"Melon, flesh only, average, weighed whole",18,0.1,0.00,3.5,3.5,0.0,0.8,0.4,0.03
"Melon, flesh only, average, weighed with skin",19,0.1,0.00,3.6,3.6,0.0,0.9,0.4,0.03
"Melon, Galia, flesh only",26,0.1,0.00,5.5,5.5,0.0,0.4,0.5,0.08
"Melon, Galia, flesh only, weighed whole",17,0.1,0.00,3.5,3.5,0.0,0.3,0.3,0.05
"Melon, Galia, flesh only, weighed with skin",18,0.1,0.00,3.8,3.8,0.0,0.3,0.3,0.05
"Melon, Honeydew, flesh only, weighed whole",19,0.1,0.02,3.9,3.9,0.0,0.4,0.3,0.02
"Melon, Honeydew, flesh only, weighed with skin",20,0.1,0.02,4.2,4.2,0.0,0.4,0.3,0.02
"Melon, watermelon, flesh only",34,0.3,0.10,6.8,6.8,0.0,0.4,0.4,0.01
"Melon, watermelon, flesh only, weighed whole",20,0.2,0.00,3.8,3.8,0.0,0.2,0.3,0.00
"Melon, yellow flesh, flesh only",31,0.1,0.03,6.7,6.7,0.0,0.7,0.5,0.03
"Meringue, homemade",391,0.0,0.00,91.4,91.4,0.0,0.0,6.3,0.28
"Meringue, with cream, homemade",333,24.2,15.14,25.9,25.9,0.0,0.0,2.9,0.11
"Methi aloo, homemade",147,10.4,1.06,9.3,1.5,7.8,2.9,2.7,1.34
"Milk bread, homemade",289,7.0,2.47,46.2,1.9,44.3,2.0,9.4,0.19
"Milk drink, fermented, with probiotics",71,1.2,0.78,12.1,11.7,0.4,0.1,2.9,0.05
"Milk shake, powder",394,1.6,N,93.6,93.6,0.0,0.0,1.3,0.05
"Milk shake, powder, made up with semi-skimmed milk",71,1.7,N,10.7,10.7,0.0,0.0,3.3,0.10
"Milk shake, powder, made up with skimmed milk",59,0.3,N,10.7,10.7,0.0,0.0,3.3,0.11
"Milk shake, powder, made up with whole milk",86,3.5,N,10.5,10.5,0.0,0.0,3.2,0.10
"Milk, 1% fat, pasteurised",41,1.0,0.60,4.6,4.6,0.0,0.0,3.4,0.11
"Milk, Channel Islands, whole, pasteurised",73,4.7,3.02,4.1,4.1,0.0,0.0,3.5,0.10
"Milk, Channel islands, whole, summer",73,4.7,2.99,3.9,3.9,0.0,0.0,3.8,0.10
"Milk, Channel islands, whole, winter",72,4.7,3.25,4.2,4.2,0.0,0.0,3.1,0.10
"Milk, condensed, whole, sweetened",312,8.0,4.99,52.9,52.9,0.0,0.0,7.3,0.23
"Milk, evaporated, light",107,4.1,2.50,9.8,9.8,0.0,0.0,7.6,0.29
"Milk, evaporated, whole",166,9.4,5.90,12.1,12.1,0.0,0.0,8.3,0.45
"Milk, flavoured, pasteurised, chocolate",73,1.5,0.99,11.3,10.7,0.3,0.0,3.5,0.11
"Milk, flavoured, pasteurised, strawberry, banana",64,1.5,1.02,9.1,8.5,0.2,0.0,3.6,0.13
"Milk, goats, pasteurised",62,3.7,2.37,4.2,4.2,0.0,0.0,3.1,0.11
"Milk, human, colostrum",56,2.6,1.10,6.3,6.3,0.0,0.0,1.9,0.12
"Milk, human, mature",72,4.1,1.92,6.9,6.9,0.0,0.0,1.9,0.04
"Milk, human, transitional",65,3.7,1.50,6.6,6.6,0.0,0.0,1.4,0.08
"Milk, semi-skimmed, pasteurised, average",47,1.7,1.07,4.5,4.5,0.0,0.0,3.4,0.11
"Milk, semi-skimmed, pasteurised, summer and autumn",46,1.7,1.01,4.3,4.3,0.0,0.0,3.4,0.11
"Milk, semi-skimmed, pasteurised, winter and spring",47,1.7,0.98,4.7,4.7,0.0,0.0,3.4,0.11
"Milk, semi-skimmed, UHT",46,1.6,1.10,4.7,4.7,0.0,0.0,3.1,0.13
"Milk, sheeps, raw",93,5.8,3.58,4.9,4.9,0.0,0.0,5.3,0.11
"Milk, skimmed, dried, fortified",349,0.6,0.40,50.4,50.4,0.0,0.0,35.6,1.38
"Milk, skimmed, pasteurised, average",35,0.3,0.13,4.6,4.6,0.0,0.0,3.4,0.11
"Milk, skimmed, pasteurised, summer",32,0.2,0.10,4.2,4.2,0.0,0.0,3.4,0.12
"Milk, skimmed, pasteurised, winter",32,0.2,0.10,4.0,4.0,0.0,0.0,3.4,0.11
"Milk, skimmed, UHT",33,0.1,0.05,4.7,4.7,0.0,0.0,3.3,0.10
"Milk, soya, non-dairy alternative to milk, sweetened, fortified",46,2.4,0.38,2.4,2.2,0.0,0.5,3.4,0.14
"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",28,1.6,0.24,0.5,0.2,0.0,0.5,2.6,0.00
"Milk, whole, pasteurised, average",63,3.6,2.29,4.4,4.4,0.0,0.0,3.3,0.11
"Milk, whole, pasteurised, summer and autumn",62,3.6,2.29,3.9,3.9,0.0,0.0,3.4,0.11
"Milk, whole, pasteurised, winter and spring",64,3.6,2.29,4.8,4.8,0.0,0.0,3.3,0.10
"Milk, whole, UHT",66,3.9,2.36,4.6,4.6,0.0,0.0,3.1,0.14
"Milkshake, thick, takeaway",89,1.8,1.21,14.7,10.8,0.3,0.0,3.6,0.14
Milky Way and own brand equivalents,450,15.7,7.73,73.0,66.7,6.3,1.0,3.8,0.55
"Mince pies, homemade, individual",445,23.5,N,53.0,29.0,24.0,1.8,4.6,0.41
"Mince pies, retail",389,14.9,5.97,58.1,35.2,22.9,2.6,4.3,0.25
Mincemeat,292,4.3,0.28,62.1,62.1,0.0,1.3,0.6,0.05
"Mincemeat, vegetarian, homemade",298,9.5,4.40,42.5,41.2,1.3,3.4,1.7,0.15
"Minibreads, toasted, retail",428,13.6,3.22,62.8,3.1,59.6,4.2,11.5,2.16
Mint sauce,100,0.0,0.00,20.9,20.9,0.0,1.9,1.6,1.20
"Mint sauce, homemade",82,0.1,0.00,17.4,17.4,0.0,1.0,0.8,0.01
"Mint, dried",322,4.6,0.85,31.5,2.9,28.6,27.8,24.8,0.25
"Mint, fresh",38,0.7,0.13,1.1,0.1,1.0,5.9,3.8,0.04
Mixed curry spices,330,13.3,2.14,24.2,4.8,19.4,30.3,13.2,2.89
"Mixed herbs, dried",316,8.5,2.90,31.1,5.0,26.1,33.5,12.1,0.20
