food_code,units,rse_indicator,years,amount
Other frozen vegetables,g,Medium,2000,47.0
Fresh and processed fruit,g,Low,2000,1189.0
Fresh fruit,g,Low,2000,765.0
Fresh oranges,g,Medium,2000,55.0
Other fresh citrus fruits,g,Low,2000,82.0
Fresh apples,g,Low,2000,187.0
Fresh pears,g,Medium,2000,48.0
Fresh stone fruit,g,Medium,2000,58.0
Fresh grapes,g,Low,2000,43.0
Other fresh soft fruit,g,Low,2000,21.0
Fresh bananas,g,Low,2000,214.0
Fresh melons,g,High,2000,27.0
Other fresh fruit,g,Medium,2000,30.0
Processed fruit and fruit products,g,Low,2000,424.0
"Tinned peaches, pears and pineapples",g,High,2000,24.0
All other tinned or bottled fruit,g,High,2000,25.0
Dried fruit,g,High,2000,22.0
"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",g,High,2000,4.0
"Nuts, edible seeds and peanut butter",g,Medium,2000,18.0
Nuts and edible seeds,g,Medium,2000,15.0
Peanut butter,g,High,2000,2.0
Pure fruit juices [note 8],ml,Medium,2000,332.0
Bread,g,Very Low,2000,782.0
white bread,g,Low,2000,461.0
"White bread, standard, unsliced",g,High,2000,65.0
"White bread, standard, sliced",g,Low,2000,247.0
"White bread, premium, sliced and unsliced",g,High,2000,139.0
"White bread, soft grain, sliced and unsliced",g,High,2000,10.0
Brown and wholemeal bread,g,Low,2000,162.0
"Brown bread, sliced and unsliced",g,High,2000,64.0
"Wholemeal and granary bread, sliced and unsliced",g,Medium,2000,98.0
Total other bread,g,Low,2000,160.0
"Rolls - white, brown or wholemeal",g,Medium,2000,74.0
Malt bread and fruit loaves,g,High,2000,8.0
Vienna and french bread,g,Medium,2000,30.0
Starch reduced bread and rolls,g,High,2000,6.0
Other breads,g,Low,2000,33.0
Sandwiches,g,High,2000,6.0
Sandwiches from takeaway,g,High,2000,3.0
Takeaway breads,g,High,2000,
Flour,g,High,2000,69.0
"Cakes, buns and pastries",g,Low,2000,187.0
"Buns, scones and teacakes",g,Low,2000,49.0
Cakes and pastries,g,Low,2000,138.0
"Cakes and pastries, not frozen",g,Low,2000,138.0
Takeaway pastries,g,High,2000,
Biscuits and crispbreads,g,Low,2000,189.0
Crispbread,g,Medium,2000,9.0
Biscuits other than chocolate,g,Low,2000,109.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2000,95.0
Cream crackers and other unsweetened biscuits,g,Medium,2000,14.0
Chocolate biscuits,g,Low,2000,71.0
Other cereals and cereal products,g,Very Low,2000,470.0
Oatmeal and oat products,g,Medium,2000,14.0
Breakfast cereals,g,Low,2000,135.0
Muesli,g,Medium,2000,16.0
