food_code,units,rse_indicator,years,amount
"Brown bread, sliced and unsliced",g,High,2011,41.0
"Wholemeal and granary bread, sliced and unsliced",g,Medium,2011,134.0
Total other bread,g,Low,2011,186.0
"Rolls - white, brown or wholemeal",g,Medium,2011,62.0
Malt bread and fruit loaves,g,High,2011,7.0
Vienna and french bread,g,Medium,2011,27.0
Starch reduced bread and rolls,g,High,2011,9.0
Other breads,g,Low,2011,66.0
Sandwiches,g,High,2011,12.0
Sandwiches from takeaway,g,High,2011,2.0
Takeaway breads,g,High,2011,2.0
Flour,g,High,2011,71.0
"Cakes, buns and pastries",g,Low,2011,151.0
"Buns, scones and teacakes",g,Low,2011,46.0
Cakes and pastries,g,Low,2011,105.0
"Cakes and pastries, not frozen",g,Low,2011,104.0
Takeaway pastries,g,High,2011,1.0
Biscuits and crispbreads,g,Low,2011,164.0
Crispbread,g,Medium,2011,7.0
Biscuits other than chocolate,g,Low,2011,105.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2011,93.0
Cream crackers and other unsweetened biscuits,g,Medium,2011,12.0
Chocolate biscuits,g,Low,2011,52.0
Other cereals and cereal products,g,Very Low,2011,547.0
Oatmeal and oat products,g,Medium,2011,20.0
Breakfast cereals,g,Low,2011,132.0
Muesli,g,Medium,2011,19.0
High fibre breakfast cereals,g,Medium,2011,52.0
Sweetened breakfast cereals,g,Medium,2011,33.0
Other breakfast cereals,g,Medium,2011,29.0
Canned milk puddings,g,Medium,2011,26.0
Canned or fresh carton custard,g,Medium,2011,15.0
All canned milk puddings,g,High,2011,11.0
Puddings,g,High,2011,11.0
Rice,g,Medium,2011,92.0
Dried rice,g,High,2011,64.0
Cooked rice,g,Medium,2011,12.0
Takeaway rice,g,Medium,2011,16.0
"Invalid foods, slimming foods and sports foods",g,Very High,2011,4.0
Infant cereal foods,g,Very High,2011,1.0
Cakes and pastries - frozen,g,High,2011,7.0
Pasta,g,Low,2011,91.0
Canned pasta,g,High,2011,20.0
Dried and fresh pasta,g,Medium,2011,70.0
Takeaway pasta and noodles,g,Very High,2011,1.0
Pizza,g,Low,2011,76.0
"Pizzas, frozen and not frozen",g,Medium,2011,55.0
Takeaway pizza,g,High,2011,21.0
Other cereal convenience foods,g,Low,2011,79.0
"Cake, pudding and dessert mixes",g,High,2011,6.0
Cereal snacks,g,Medium,2011,21.0
"Quiches and flans, frozen and not frozen",g,High,2011,11.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2011,1.0
"Other cereal foods, frozen and not frozen",g,Low,2011,41.0
Other cereals,g,Very High,2011,7.0
Beverages,g,Low,2011,53.0
Tea,g,Medium,2011,27.0
Coffee beans and ground coffee,g,Medium,2011,4.0
Instant coffee,g,Medium,2011,14.0
Coffee essences,ml,Very High,2011,0.0
Tea and coffee from takeaway,ml,Very High,2011,0.0
Cocoa and chocolate drinks,g,High,2011,5.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2011,2.0
Other food and drink,g,Medium,2011,726.0
Mineral or spring waters,ml,High,2011,256.0
Baby foods,g,Very High,2011,10.0
Soups - canned or cartons,g,Medium,2011,75.0
Soups - dehydrated or powdered,g,Very High,2011,4.0
Soups - from takeaway,g,Very High,2011,0.0
Other takeaway food brought home,g,Very High,2011,0.0
Meals on wheels - items not specified,g,Very High,2011,0.0
Spreads and dressings,g,Low,2011,44.0
Salad dressings,g,Low,2011,36.0
Other spreads and dresssings,g,High,2011,8.0
Pickles and sauces,g,Low,2011,131.0
Pickles,g,High,2011,13.0
Sauces,g,Low,2011,117.0
Takeaway sauces and mayonnnaise,g,High,2011,1.0
Stock cubes and meat and yeast extracts,g,High,2011,5.0
Jelly squares or crystals,g,High,2011,4.0
Ice cream tub or block,ml,Medium,2011,106.0
Ice cream products including takeaways,ml,Medium,2011,74.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2011,39.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2011,34.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2011,1.0
Salt,g,High,2011,9.0
Soya and novel protein foods,g,High,2011,7.0
Soft drinks,ml,Low,2011,1630.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2011,379.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2011,576.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2011,286.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2011,390.0
Confectionery,g,Low,2011,134.0
Chocolate bars - solid,g,Low,2011,31.0
Chocolate bars - filled,g,Low,2011,58.0
Chewing gum,g,High,2011,2.0
Mints and boiled sweets,g,Low,2011,38.0
Mints,g,High,2011,3.0
Boiled sweets,g,Low,2011,35.0
"Fudges, toffees, caramels",g,High,2011,3.0
Takeaway confectionery,g,Very High,2011,0.0
Alcoholic drinks,ml,Medium,2011,728.0
Beers,ml,High,2011,88.0
Lagers and continental beers,ml,Medium,2011,251.0
Ciders and perry,ml,High,2011,87.0
Wine and champagne,ml,Medium,2011,246.0
"Champagne, sparkling wines and wine with mixer",ml,High,2011,11.0
Table wine,ml,Medium,2011,235.0
Spirits with mixer,ml,Very High,2011,1.0
Fortified wines,ml,Very High,2011,10.0
Spirits,ml,Medium,2011,31.0
Liqueurs and cocktails,ml,High,2011,6.0
Alcopops,ml,Very High,2011,9.0
,,,2011,
Milk and milk products excluding cheese,ml,Very Low,2012,1901.0
"Liquid wholemilk, including school and welfare",ml,Medium,2012,297.0
"Liquid wholemilk, full price",ml,Medium,2012,297.0
UHT milk,ml,Very High,2012,3.0
Sterilised,ml,,2012,2.0
Pasteurised/ homogenised,ml,Medium,2012,292.0
School milk ,ml,,2012,
Welfare milk,ml,,2012,
Other milk and cream,ml,Low,2012,1604.0
Skimmed milks,ml,Low,2012,1209.0
Fully skimmed milk,ml,Medium,2012,158.0
Semi-skimmed milk,ml,Low,2012,1051.0
Condensed or evaporated milk,eq ml,High,2012,17.0
Infant milks,eq ml,Very High,2012,53.0
Infant or baby milks - ready to drink,eq ml,Very High,2012,5.0
Infant or baby milks - dried,eq ml,Very High,2012,48.0
Instant dried milk,eq ml,Very High,2012,5.0
Yoghurt and fromage frais,ml,Low,2012,195.0
Yoghurt,ml,Low,2012,175.0
Fromage frais,ml,High,2012,20.0
Other milks and dairy desserts,ml,Medium,2012,100.0
Dairy desserts - not frozen,ml,Medium,2012,41.0
Dried milk products,ml,Very High,2012,4.0
Milk drinks and other milks ,ml,High,2012,28.0
Non-dairy milk substitutes ,ml,Medium,2012,27.0
Cream,ml,Medium,2012,25.0
Cheese,g,Low,2012,114.0
Natural cheese,g,Low,2012,104.0
Hard cheese - cheddar type,g,Low,2012,64.0
Hard cheese - other uk or foreign equivalent,g,High,2012,7.0
Hard cheese - edam or other foreign,g,Medium,2012,8.0
Cottage cheese,g,High,2012,5.0
Soft natural cheese,g,Medium,2012,19.0
Processed cheese,g,Medium,2012,10.0
Carcase meat,g,Low,2012,196.0
Beef and veal,g,Low,2012,104.0
Beef joints - on the bone,g,Very High,2012,1.0
Beef joints - boned,g,High,2012,18.0
Beef steak - less expensive,g,Medium,2012,16.0
Beef steak - more expensive,g,High,2012,18.0
Minced beef,g,Medium,2012,50.0
All other beef and veal,g,Very High,2012,1.0
Mutton and lamb,g,High,2012,36.0
Mutton,g,Very High,2012,1.0
Lamb joints,g,Very High,2012,19.0
Lamb chops,g,High,2012,9.0
All other lamb,g,Very High,2012,7.0
Pork,g,Medium,2012,55.0
Pork joints,g,High,2012,18.0
Pork chops,g,High,2012,10.0
Pork fillets and steaks,g,High,2012,16.0
All other pork,g,High,2012,12.0
Non-carcase meat and meat products,g,Very Low,2012,793.0
Liver,g,Very High,2012,4.0
Ox liver,g,Very High,2012,0.0
Lambs liver,g,Very High,2012,1.0
Pigs liver,g,Very High,2012,1.0
All other liver,g,Very High,2012,1.0
All offal other than liver,g,Very High,2012,2.0
"Bacon and ham, uncooked",g,Medium,2012,68.0
"Bacon and ham joints, uncooked",g,High,2012,23.0
"Bacon and ham rashers, uncooked",g,Low,2012,45.0
"Bacon and ham, cooked",g,Low,2012,40.0
Cooked poultry not purchased in cans,g,Medium,2012,37.0
"Chicken and turkey, cooked",g,Medium,2012,30.0
Takeaway chicken,g,High,2012,7.0
"Corned beef, canned or sliced",g,Medium,2012,7.0
Other cooked meat,g,Medium,2012,14.0
Other canned meat and canned meat products,g,High,2012,22.0
"Chicken, uncooked - whole chicken or chicken pieces",g,Low,2012,192.0
"Other poultry, uncooked (including frozen)",g,High,2012,22.0
"Turkey, uncooked - whole turkey or turkey pieces",g,High,2012,18.0
"Poultry other than chicken or turkey, uncooked",g,Very High,2012,4.0
"Other fresh, chilled and frozen meat",g,Very High,2012,1.0
"Sausages, uncooked - pork",g,Low,2012,62.0
"Sausages, uncooked - beef and other sausages",g,High,2012,4.0
"Meat pies and sausage rolls, ready to eat",g,Medium,2012,22.0
"Meat pies, ready to eat",g,Medium,2012,11.0
"Sausage rolls, ready to eat",g,Medium,2012,11.0
"Meat pies, pasties and puddings, frozen or not frozen",g,Medium,2012,46.0
"Burgers, frozen or not frozen",g,Medium,2012,18.0
Ready meals and convenience meat products,g,Low,2012,164.0
"Complete meat-based ready meals, frozen or not frozen",g,Medium,2012,91.0
"Other convenience meat products, frozen or not frozen",g,Medium,2012,73.0
Pate and delicatessen type sausage,g,Medium,2012,15.0
Pate,g,High,2012,4.0
Delicatessen type sausages,g,Medium,2012,12.0
Meat pastes and spreads,g,Very High,2012,1.0
Takeaway meats,g,Medium,2012,49.0
Takeaway meat pies and pasties,g,Very High,2012,2.0
Takeaway burger and bun,g,High,2012,6.0
Takeaway kebabs,g,High,2012,8.0
Takeaway sausages and saveloys,g,High,2012,2.0
Takeaway meat based meals,g,Medium,2012,31.0
Takeaway miscellaneous meats,g,Very High,2012,0.0
Fish,g,Low,2012,144.0
"White fish, fresh, chilled or frozen",g,High,2012,21.0
"White fish, fresh or chilled",g,High,2012,12.0
"White fish, frozen",g,Very High,2012,9.0
"Herrings and other blue fish, fresh, chilled or frozen",g,High,2012,4.0
"Herrings and other blue fish, fresh or chilled",g,Very High,2012,4.0
"Herrings and other blue fish, frozen",g,Very High,2012,0.0
"Salmon, fresh, chilled or frozen",g,Medium,2012,12.0
"Salmon, fresh or chilled",g,Medium,2012,11.0
"Salmon, frozen",g,Very High,2012,1.0
"Blue fish, dried or salted or smoked",g,High,2012,6.0
"White fish, dried, salted or smoked",g,Very High,2012,3.0
Shellfish,g,High,2012,10.0
"Shellfish, fresh or chilled",g,High,2012,6.0
"Shellfish, frozen",g,High,2012,4.0
Takeaway fish,g,High,2012,8.0
"Salmon, tinned",g,Very High,2012,2.0
Other tinned or bottled fish,g,Medium,2012,25.0
Ready meals and other fish products - frozen or not frozen,g,Medium,2012,52.0
Takeaway fish meals and fish products,g,High,2012,3.0
Takeaway fish products,g,Very High,2012,0.0
Takeaway fish based meals,g,Very High,2012,3.0
Eggs,no.,Low,2012,2.0
Fats,g,Low,2012,178.0
Butter,g,Medium,2012,41.0
Margarine,g,Medium,2012,24.0
Soft margarine,g,Medium,2012,21.0
Other margarine,g,Very High,2012,3.0
"Lard, cooking fat",g,Very High,2012,2.0
Vegetable and salad oils,ml,High,2012,61.0
Olive oil,ml,High,2012,14.0
Other vegetable and salad oils,ml,High,2012,47.0
All other fats,g,Medium,2012,50.0
Reduced fat spreads,g,Medium,2012,31.0
Low fat spreads,g,Very High,2012,12.0
Suet and dripping,g,Very High,2012,1.0
Imitatation cream,g,High,2012,6.0
Sugar and preserves,g,Medium,2012,124.0
Sugar,g,Medium,2012,91.0
Jams and fruit curds,g,Medium,2012,14.0
Marmalade,g,High,2012,8.0
"Syrup, treacle",g,High,2012,4.0
Honey,g,Medium,2012,6.0
"fruit and vegetables, including potatoes",g,Low,2012,2917.0
"vegetables, including potatoes",g,Very Low,2012,1810.0
fresh and processed potatoes,g,Low,2012,724.0
Fresh potatoes,g,Low,2012,478.0
Fresh new potatoes ,g,Medium,2012,66.0
Fresh baking potatoes ,g,Medium,2012,56.0
Other fresh potatoes,g,Medium,2012,357.0
processed potatoes,g,Low,2012,246.0
Chips and takeaway chips,g,Low,2012,142.0
Chips - frozen or not frozen,g,Low,2012,107.0
Takeaway chips,g,Medium,2012,35.0
Instant potato,g,Very High,2012,1.0
Canned potatoes,g,Very High,2012,3.0
Crisps and potato snacks,g,Low,2012,55.0
"Other potato products, frozen or not frozen",g,Medium,2012,45.0
Fresh green vegetables,g,Low,2012,183.0
Fresh cabbages,g,Medium,2012,31.0
Fresh brussels sprouts,g,High,2012,11.0
Fresh cauliflower,g,Medium,2012,59.0
Leafy salads fresh,g,Low,2012,51.0
Lettuce and leafy salads,g,Medium,2012,33.0
Prepared lettuce salads,g,Medium,2012,19.0
Fresh peas,g,High,2012,4.0
Fresh beans,g,Medium,2012,20.0
Other fresh green vegetables,g,Medium,2012,7.0
Other fresh vegetables,g,Low,2012,551.0
Fresh carrots,g,Low,2012,101.0
Fresh turnips and swede,g,High,2012,14.0
Other fresh root vegetables,g,Medium,2012,37.0
"Fresh onions, leeks and shallots",g,Low,2012,109.0
Fresh cucumbers,g,Low,2012,42.0
Fresh mushrooms,g,Low,2012,34.0
Fresh tomatoes,g,Low,2012,85.0
Miscellaneous fresh vegtables,g,Low,2012,129.0
"Fresh vegetable stewpack, stirfry pack etc.",g,High,2012,29.0
Fresh stem vegetables,g,Medium,2012,23.0
"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,Medium,2012,70.0
Fresh herbs,g,Medium,2012,5.0
"Tomatoes, canned or bottled",g,Medium,2012,53.0
"Peas, canned",g,Medium,2012,19.0
Beans canned,g,Medium,2012,103.0
Baked beans in sauce,g,Medium,2012,86.0
Other canned beans and pulses,g,Medium,2012,17.0
Other canned vegetables,g,Medium,2012,19.0
Dried pulses other than air-dried,g,Very High,2012,8.0
Air-dried vegetables,g,Very High,2012,0.0
Vegetable juices and purees,ml,High,2012,8.0
Tomato puree and vegetable purees,ml,Medium,2012,4.0
"Vegetable juices eg tomato juice, carrot juice",ml,Very High,2012,5.0
"Peas, frozen",g,Medium,2012,31.0
"Beans, frozen",g,Very High,2012,4.0
Ready meals and other vegetable products (inc takeaways),g,Low,2012,65.0
"Ready meals and other vegetable products, frozen or not frozen",g,Low,2012,57.0
All vegetable takeaway products,g,High,2012,8.0
Other frozen vegetables,g,Medium,2012,40.0
Fresh and processed fruit,g,Low,2012,1107.0
Fresh fruit,g,Low,2012,744.0
Fresh oranges,g,Medium,2012,50.0
Other fresh citrus fruits,g,Low,2012,75.0
Fresh apples,g,Low,2012,135.0
Fresh pears,g,Medium,2012,38.0
Fresh stone fruit,g,Medium,2012,55.0
Fresh grapes,g,Low,2012,51.0
Other fresh soft fruit,g,Low,2012,50.0
Fresh bananas,g,Low,2012,214.0
Fresh melons,g,High,2012,33.0
Other fresh fruit,g,Medium,2012,43.0
Processed fruit and fruit products,g,Low,2012,362.0
"Tinned peaches, pears and pineapples",g,High,2012,12.0
All other tinned or bottled fruit,g,High,2012,17.0
Dried fruit,g,High,2012,19.0
"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",g,High,2012,2.0
"Nuts, edible seeds and peanut butter",g,Medium,2012,30.0
Nuts and edible seeds,g,Medium,2012,26.0
Peanut butter,g,High,2012,4.0
Pure fruit juices [note 8],ml,Medium,2012,282.0
Bread,g,Very Low,2012,615.0
white bread,g,Low,2012,266.0
"White bread, standard, unsliced",g,High,2012,25.0
"White bread, standard, sliced",g,Low,2012,239.0
"White bread, premium, sliced and unsliced",g,High,2012,1.0
"White bread, soft grain, sliced and unsliced",g,High,2012,1.0
Brown and wholemeal bread,g,Low,2012,158.0
"Brown bread, sliced and unsliced",g,High,2012,36.0
"Wholemeal and granary bread, sliced and unsliced",g,Medium,2012,123.0
Total other bread,g,Low,2012,191.0
"Rolls - white, brown or wholemeal",g,Medium,2012,59.0
Malt bread and fruit loaves,g,High,2012,7.0
Vienna and french bread,g,Medium,2012,28.0
Starch reduced bread and rolls,g,High,2012,6.0
Other breads,g,Low,2012,74.0
Sandwiches,g,High,2012,12.0
Sandwiches from takeaway,g,High,2012,3.0
Takeaway breads,g,High,2012,2.0
Flour,g,High,2012,73.0
"Cakes, buns and pastries",g,Low,2012,149.0
"Buns, scones and teacakes",g,Low,2012,45.0
Cakes and pastries,g,Low,2012,105.0
"Cakes and pastries, not frozen",g,Low,2012,104.0
Takeaway pastries,g,High,2012,1.0
Biscuits and crispbreads,g,Low,2012,160.0
Crispbread,g,Medium,2012,7.0
Biscuits other than chocolate,g,Low,2012,103.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2012,92.0
Cream crackers and other unsweetened biscuits,g,Medium,2012,12.0
Chocolate biscuits,g,Low,2012,50.0
Other cereals and cereal products,g,Very Low,2012,542.0
Oatmeal and oat products,g,Medium,2012,22.0
Breakfast cereals,g,Low,2012,128.0
Muesli,g,Medium,2012,18.0
High fibre breakfast cereals,g,Medium,2012,48.0
Sweetened breakfast cereals,g,Medium,2012,32.0
Other breakfast cereals,g,Medium,2012,29.0
Canned milk puddings,g,Medium,2012,25.0
Canned or fresh carton custard,g,Medium,2012,15.0
All canned milk puddings,g,High,2012,9.0
Puddings,g,High,2012,9.0
Rice,g,Medium,2012,92.0
Dried rice,g,High,2012,62.0
Cooked rice,g,Medium,2012,14.0
Takeaway rice,g,Medium,2012,16.0
"Invalid foods, slimming foods and sports foods",g,Very High,2012,4.0
Infant cereal foods,g,Very High,2012,1.0
Cakes and pastries - frozen,g,High,2012,11.0
Pasta,g,Low,2012,91.0
Canned pasta,g,High,2012,21.0
Dried and fresh pasta,g,Medium,2012,69.0
Takeaway pasta and noodles,g,Very High,2012,1.0
Pizza,g,Low,2012,80.0
"Pizzas, frozen and not frozen",g,Medium,2012,55.0
Takeaway pizza,g,High,2012,25.0
Other cereal convenience foods,g,Low,2012,72.0
"Cake, pudding and dessert mixes",g,High,2012,7.0
Cereal snacks,g,Medium,2012,20.0
"Quiches and flans, frozen and not frozen",g,High,2012,9.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2012,1.0
"Other cereal foods, frozen and not frozen",g,Low,2012,36.0
Other cereals,g,Very High,2012,7.0
Beverages,g,Low,2012,53.0
Tea,g,Medium,2012,26.0
Coffee beans and ground coffee,g,Medium,2012,6.0
Instant coffee,g,Medium,2012,13.0
Coffee essences,ml,Very High,2012,0.0
Tea and coffee from takeaway,ml,Very High,2012,0.0
Cocoa and chocolate drinks,g,High,2012,5.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2012,2.0
Other food and drink,g,Medium,2012,776.0
Mineral or spring waters,ml,High,2012,305.0
Baby foods,g,Very High,2012,10.0
Soups - canned or cartons,g,Medium,2012,85.0
Soups - dehydrated or powdered,g,Very High,2012,4.0
Soups - from takeaway,g,Very High,2012,0.0
Other takeaway food brought home,g,Very High,2012,0.0
Meals on wheels - items not specified,g,Very High,2012,0.0
Spreads and dressings,g,Low,2012,45.0
Salad dressings,g,Low,2012,36.0
Other spreads and dresssings,g,High,2012,9.0
Pickles and sauces,g,Low,2012,129.0
Pickles,g,High,2012,13.0
Sauces,g,Low,2012,115.0
Takeaway sauces and mayonnnaise,g,High,2012,1.0
Stock cubes and meat and yeast extracts,g,High,2012,5.0
Jelly squares or crystals,g,High,2012,4.0
Ice cream tub or block,ml,Medium,2012,103.0
Ice cream products including takeaways,ml,Medium,2012,70.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2012,39.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2012,29.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2012,1.0
Salt,g,High,2012,9.0
Soya and novel protein foods,g,High,2012,7.0
Soft drinks,ml,Low,2012,1633.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2012,335.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2012,549.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2012,340.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2012,409.0
Confectionery,g,Low,2012,126.0
Chocolate bars - solid,g,Low,2012,33.0
Chocolate bars - filled,g,Low,2012,50.0
Chewing gum,g,High,2012,2.0
Mints and boiled sweets,g,Low,2012,38.0
Mints,g,High,2012,2.0
Boiled sweets,g,Low,2012,36.0
"Fudges, toffees, caramels",g,High,2012,4.0
Takeaway confectionery,g,Very High,2012,0.0
Alcoholic drinks,ml,Medium,2012,700.0
Beers,ml,High,2012,86.0
Lagers and continental beers,ml,Medium,2012,240.0
Ciders and perry,ml,High,2012,80.0
Wine and champagne,ml,Medium,2012,237.0
"Champagne, sparkling wines and wine with mixer",ml,High,2012,11.0
Table wine,ml,Medium,2012,226.0
Spirits with mixer,ml,Very High,2012,1.0
Fortified wines,ml,Very High,2012,8.0
Spirits,ml,Medium,2012,34.0
Liqueurs and cocktails,ml,High,2012,6.0
Alcopops,ml,Very High,2012,8.0
,,,2012,
Milk and milk products excluding cheese,ml,Very Low,2013,1847.0
"Liquid wholemilk, including school and welfare",ml,Medium,2013,285.0
"Liquid wholemilk, full price",ml,Medium,2013,285.0
UHT milk,ml,Very High,2013,3.0
Sterilised,ml,,2013,1.0
Pasteurised/ homogenised,ml,Medium,2013,282.0
School milk ,ml,,2013,
Welfare milk,ml,,2013,
Other milk and cream,ml,Low,2013,1562.0
Skimmed milks,ml,Low,2013,1152.0
Fully skimmed milk,ml,Medium,2013,155.0
Semi-skimmed milk,ml,Low,2013,996.0
Condensed or evaporated milk,eq ml,High,2013,25.0
Infant milks,eq ml,Very High,2013,67.0
Infant or baby milks - ready to drink,eq ml,Very High,2013,5.0
Infant or baby milks - dried,eq ml,Very High,2013,61.0
Instant dried milk,eq ml,Very High,2013,5.0
Yoghurt and fromage frais,ml,Low,2013,191.0
Yoghurt,ml,Low,2013,174.0
Fromage frais,ml,High,2013,17.0
Other milks and dairy desserts,ml,Medium,2013,98.0
Dairy desserts - not frozen,ml,Medium,2013,37.0
Dried milk products,ml,Very High,2013,1.0
Milk drinks and other milks ,ml,High,2013,28.0
Non-dairy milk substitutes ,ml,Medium,2013,32.0
Cream,ml,Medium,2013,24.0
Cheese,g,Low,2013,118.0
Natural cheese,g,Low,2013,107.0
Hard cheese - cheddar type,g,Low,2013,67.0
Hard cheese - other uk or foreign equivalent,g,High,2013,7.0
Hard cheese - edam or other foreign,g,Medium,2013,8.0
Cottage cheese,g,High,2013,5.0
Soft natural cheese,g,Medium,2013,20.0
Processed cheese,g,Medium,2013,11.0
Carcase meat,g,Low,2013,182.0
Beef and veal,g,Low,2013,97.0
Beef joints - on the bone,g,Very High,2013,1.0
Beef joints - boned,g,High,2013,16.0
Beef steak - less expensive,g,Medium,2013,14.0
Beef steak - more expensive,g,High,2013,18.0
Minced beef,g,Medium,2013,47.0
All other beef and veal,g,Very High,2013,1.0
Mutton and lamb,g,High,2013,35.0
Mutton,g,Very High,2013,1.0
Lamb joints,g,Very High,2013,19.0
Lamb chops,g,High,2013,9.0
All other lamb,g,Very High,2013,6.0
Pork,g,Medium,2013,51.0
Pork joints,g,High,2013,16.0
Pork chops,g,High,2013,8.0
Pork fillets and steaks,g,High,2013,14.0
All other pork,g,High,2013,13.0
Non-carcase meat and meat products,g,Very Low,2013,766.0
Liver,g,Very High,2013,3.0
Ox liver,g,Very High,2013,0.0
Lambs liver,g,Very High,2013,2.0
Pigs liver,g,Very High,2013,1.0
All other liver,g,Very High,2013,1.0
All offal other than liver,g,Very High,2013,2.0
"Bacon and ham, uncooked",g,Medium,2013,64.0
"Bacon and ham joints, uncooked",g,High,2013,22.0
"Bacon and ham rashers, uncooked",g,Low,2013,43.0
"Bacon and ham, cooked",g,Low,2013,39.0
Cooked poultry not purchased in cans,g,Medium,2013,38.0
"Chicken and turkey, cooked",g,Medium,2013,31.0
Takeaway chicken,g,High,2013,6.0
"Corned beef, canned or sliced",g,Medium,2013,7.0
Other cooked meat,g,Medium,2013,14.0
Other canned meat and canned meat products,g,High,2013,22.0
"Chicken, uncooked - whole chicken or chicken pieces",g,Low,2013,184.0
"Other poultry, uncooked (including frozen)",g,High,2013,19.0
"Turkey, uncooked - whole turkey or turkey pieces",g,High,2013,16.0
"Poultry other than chicken or turkey, uncooked",g,Very High,2013,3.0
"Other fresh, chilled and frozen meat",g,Very High,2013,2.0
"Sausages, uncooked - pork",g,Low,2013,57.0
"Sausages, uncooked - beef and other sausages",g,High,2013,4.0
"Meat pies and sausage rolls, ready to eat",g,Medium,2013,21.0
"Meat pies, ready to eat",g,Medium,2013,12.0
"Sausage rolls, ready to eat",g,Medium,2013,9.0
"Meat pies, pasties and puddings, frozen or not frozen",g,Medium,2013,43.0
"Burgers, frozen or not frozen",g,Medium,2013,18.0
Ready meals and convenience meat products,g,Low,2013,164.0
"Complete meat-based ready meals, frozen or not frozen",g,Medium,2013,86.0
"Other convenience meat products, frozen or not frozen",g,Medium,2013,78.0
Pate and delicatessen type sausage,g,Medium,2013,16.0
Pate,g,High,2013,4.0
Delicatessen type sausages,g,Medium,2013,13.0
Meat pastes and spreads,g,Very High,2013,1.0
Takeaway meats,g,Medium,2013,47.0
Takeaway meat pies and pasties,g,Very High,2013,2.0
Takeaway burger and bun,g,High,2013,4.0
Takeaway kebabs,g,High,2013,8.0
Takeaway sausages and saveloys,g,High,2013,2.0
Takeaway meat based meals,g,Medium,2013,32.0
Takeaway miscellaneous meats,g,Very High,2013,0.0
Fish,g,Low,2013,146.0
"White fish, fresh, chilled or frozen",g,High,2013,19.0
"White fish, fresh or chilled",g,High,2013,13.0
"White fish, frozen",g,Very High,2013,6.0
"Herrings and other blue fish, fresh, chilled or frozen",g,High,2013,4.0
"Herrings and other blue fish, fresh or chilled",g,Very High,2013,3.0
"Herrings and other blue fish, frozen",g,Very High,2013,0.0
"Salmon, fresh, chilled or frozen",g,Medium,2013,13.0
"Salmon, fresh or chilled",g,Medium,2013,12.0
"Salmon, frozen",g,Very High,2013,1.0
"Blue fish, dried or salted or smoked",g,High,2013,7.0
"White fish, dried, salted or smoked",g,Very High,2013,3.0
Shellfish,g,High,2013,10.0
"Shellfish, fresh or chilled",g,High,2013,6.0
"Shellfish, frozen",g,High,2013,4.0
Takeaway fish,g,High,2013,8.0
"Salmon, tinned",g,Very High,2013,2.0
Other tinned or bottled fish,g,Medium,2013,23.0
Ready meals and other fish products - frozen or not frozen,g,Medium,2013,54.0
Takeaway fish meals and fish products,g,High,2013,2.0
Takeaway fish products,g,Very High,2013,0.0
Takeaway fish based meals,g,Very High,2013,2.0
Eggs,no.,Low,2013,2.0
Fats,g,Low,2013,171.0
Butter,g,Medium,2013,42.0
Margarine,g,Medium,2013,23.0
Soft margarine,g,Medium,2013,21.0
Other margarine,g,Very High,2013,2.0
"Lard, cooking fat",g,Very High,2013,2.0
Vegetable and salad oils,ml,High,2013,58.0
Olive oil,ml,High,2013,16.0
Other vegetable and salad oils,ml,High,2013,42.0
All other fats,g,Medium,2013,45.0
Reduced fat spreads,g,Medium,2013,28.0
Low fat spreads,g,Very High,2013,10.0
Suet and dripping,g,Very High,2013,1.0
Imitatation cream,g,High,2013,6.0
Sugar and preserves,g,Medium,2013,123.0
Sugar,g,Medium,2013,91.0
Jams and fruit curds,g,Medium,2013,14.0
Marmalade,g,High,2013,7.0
"Syrup, treacle",g,High,2013,4.0
Honey,g,Medium,2013,7.0
"fruit and vegetables, including potatoes",g,Low,2013,2898.0
"vegetables, including potatoes",g,Very Low,2013,1783.0
fresh and processed potatoes,g,Low,2013,682.0
Fresh potatoes,g,Low,2013,439.0
Fresh new potatoes ,g,Medium,2013,65.0
Fresh baking potatoes ,g,Medium,2013,55.0
